lat,lon,elevation,time,asphalt_pct,dirt_pct,temperature,precipitation
-39.203475751,175.5405668356,1138.56,2016-01-10 03:19:15+00:00,0.0,0.0,12.070833333333333,0.004166666666666667
-38.7601832114,176.0753897578,373.58,2016-01-11 02:16:47+00:00,0.0,0.0,15.029166666666663,0.0625
-38.5699215531,176.222438179,342.58,2016-01-11 02:57:35+00:00,0.0,0.0,15.633333333333335,0.0625
-38.2279704139,176.2958623935,415.32,2016-01-11 03:30:36+00:00,0.0,0.0,15.408333333333333,0.06666666666666667
-38.0698971078,176.1177570932,504.05,2016-01-11 04:11:04+00:00,0.0,0.0,15.033333333333333,0.03333333333333333
-37.9749296419,175.7520313561,124.01,2016-01-11 04:38:09+00:00,0.0,0.0,17.34583333333333,0.02916666666666667
-37.8008909058,175.2859577257,43.15,2016-01-11 05:16:38+00:00,0.0,0.0,18.616666666666664,0.07916666666666666
-37.5254164729,175.1600561757,18.4,2016-01-11 06:01:29+00:00,0.0,0.0,19.11666666666667,0.09583333333333333
-37.1651592571,174.9833422713,91.81,2016-01-11 06:34:57+00:00,34.1156005859375,0.9490966796875,19.3125,0.17500000000000002
-36.8464724254,174.7728763707,-12.13,2016-01-11 07:12:43+00:00,47.84393310546875,2.4200439453125,19.887500000000003,0.11666666666666668
