ID,Тип покрытия,Площадь(px²),Длина(px),Ширина(px),Компактность
638,брусчатка,0,1,2.0,0.000
639,брусчатка,6,2,4.0,0.754
640,брусчатка,66,33,7.2,0.149
641,брусчатка,50,22,6.0,0.221
642,брусчатка,1,2,2.0,0.539
643,брусчатка,0,1,2.0,0.000
644,брусчатка,0,3,2.0,0.000
645,брусчатка,0,3,2.0,0.214
646,брусчатка,0,4,2.0,0.000
647,брусчатка,0,7,2.0,0.000
648,брусчатка,10,5,4.0,0.650
649,брусчатка,0,4,2.0,0.000
650,брусчатка,0,2,2.0,0.000
651,брусчатка,0,2,2.0,0.000
652,брусчатка,2,4,2.0,0.354
653,брусчатка,4,2,4.0,0.785
654,брусчатка,19,9,4.0,0.427
655,брусчатка,6,2,4.0,0.754
656,брусчатка,6,3,4.0,0.754
657,брусчатка,12,8,4.0,0.383
658,брусчатка,0,1,2.0,0.000
659,брусчатка,2,1,2.0,0.698
660,брусчатка,98,32,6.0,0.239
661,брусчатка,0,2,2.0,0.000
662,брусчатка,4,2,4.0,0.785
663,брусчатка,0,3,2.0,0.000
664,брусчатка,0,1,2.0,0.000
665,брусчатка,20,11,4.4,0.511
666,брусчатка,0,2,2.0,0.000
667,брусчатка,2,2,2.0,0.572
668,брусчатка,2,4,2.0,0.213
669,брусчатка,0,2,2.0,0.000
670,брусчатка,4,4,4.0,0.434
671,брусчатка,0,2,2.0,0.000
672,брусчатка,0,3,2.0,0.000
673,брусчатка,0,1,2.0,0.000
674,брусчатка,1,2,2.0,0.785
675,брусчатка,0,3,2.0,0.000
676,брусчатка,0,2,2.0,0.000
677,брусчатка,0,1,2.0,0.000
678,брусчатка,479,100,14.0,0.129
679,брусчатка,0,1,2.0,0.000
680,брусчатка,39,13,6.0,0.412
681,брусчатка,0,1,2.0,0.000
682,брусчатка,0,1,2.0,0.000
683,брусчатка,2,3,2.0,0.572
684,брусчатка,4,6,2.0,0.338
685,брусчатка,0,2,2.0,0.000
686,брусчатка,0,1,2.0,0.000
687,брусчатка,56,20,6.0,0.331
688,брусчатка,0,3,2.0,0.000
689,брусчатка,0,2,2.0,0.000
690,брусчатка,5,9,2.8,0.163
691,брусчатка,282,56,8.4,0.237
692,брусчатка,0,3,2.0,0.000
693,брусчатка,8,5,4.0,0.611
694,брусчатка,0,4,2.0,0.000
695,брусчатка,4,9,2.8,0.155
696,брусчатка,0,1,2.0,0.000
697,брусчатка,0,1,2.0,0.000
698,брусчатка,27,15,4.4,0.199
699,брусчатка,0,3,2.0,0.000
700,брусчатка,0,2,2.0,0.000
701,брусчатка,0,2,2.0,0.000
702,брусчатка,0,5,2.0,0.071
703,брусчатка,4,2,4.0,0.785
704,брусчатка,0,4,2.0,0.000
705,брусчатка,0,5,2.0,0.071
706,брусчатка,0,1,2.0,0.000
707,брусчатка,1,13,2.0,0.020
708,брусчатка,0,1,2.0,0.000
709,брусчатка,72,13,8.4,0.585
710,брусчатка,0,3,2.0,0.214
711,брусчатка,0,1,2.0,0.000
712,брусчатка,0,7,2.0,0.000
713,брусчатка,92,25,7.2,0.399
714,брусчатка,1,6,2.0,0.107
715,брусчатка,6,3,4.0,0.754
716,брусчатка,2,13,2.0,0.038
717,брусчатка,2,3,2.0,0.698
718,брусчатка,140,36,7.2,0.229
719,брусчатка,204,31,10.8,0.462
720,брусчатка,0,1,2.0,0.000
721,брусчатка,10,4,4.0,0.764
722,брусчатка,36,10,6.0,0.487
723,брусчатка,0,3,2.0,0.000
724,брусчатка,183,63,10.0,0.113
725,брусчатка,19,4,4.4,0.673
726,брусчатка,41,8,10.0,0.716
727,брусчатка,0,2,2.0,0.000
728,брусчатка,0,3,2.0,0.000
729,брусчатка,4,2,4.0,0.785
730,брусчатка,4,6,2.0,0.244
731,брусчатка,0,3,2.0,0.214
732,брусчатка,82,22,8.0,0.372
733,брусчатка,30,7,5.6,0.612
734,брусчатка,0,3,2.0,0.000
735,брусчатка,24,8,4.0,0.562
736,брусчатка,0,1,2.0,0.000
737,брусчатка,15,6,4.0,0.666
738,брусчатка,18,9,4.0,0.434
739,брусчатка,0,3,2.0,0.000
740,брусчатка,0,1,2.0,0.539
741,брусчатка,3,5,2.0,0.322
742,брусчатка,6,3,4.0,0.780
743,брусчатка,0,3,2.0,0.000
744,брусчатка,36,10,6.0,0.684
745,брусчатка,0,2,2.0,0.000
746,брусчатка,45,14,6.0,0.313
747,брусчатка,20,9,4.0,0.438
748,брусчатка,2,7,2.0,0.108
749,брусчатка,29,6,8.8,0.699
750,брусчатка,18,13,6.0,0.314
751,грунт/грязь,2,3,4.0,0.698
752,грунт/грязь,2,3,4.0,0.698
753,грунт/грязь,16,7,4.0,0.503
754,грунт/грязь,47,9,10.0,0.621
755,грунт/грязь,40,10,6.0,0.605
756,грунт/грязь,41,16,4.4,0.285
757,грунт/грязь,150,45,6.4,0.180
758,грунт/грязь,126,24,8.0,0.408
759,грунт/грязь,20,6,4.0,0.598
760,грунт/грязь,28,8,4.4,0.472
761,грунт/грязь,14,3,4.4,0.767
762,грунт/грязь,76,22,6.0,0.283
763,грунт/грязь,105,23,8.0,0.365
764,грунт/грязь,8,3,4.0,0.820
765,грунт/грязь,27,6,6.0,0.651
766,грунт/грязь,8,2,4.0,0.820
767,грунт/грязь,6,2,4.0,0.754
768,грунт/грязь,14,4,4.0,0.800
769,грунт/грязь,8,3,4.0,0.698
770,грунт/грязь,10,5,4.0,0.641
771,грунт/грязь,8,4,4.0,0.698
772,грунт/грязь,4,2,4.0,0.785
773,грунт/грязь,10,3,4.0,0.733
774,грунт/грязь,16,8,4.0,0.503
775,грунт/грязь,4,2,4.0,0.785
776,грунт/грязь,12,4,4.0,0.803
777,грунт/грязь,13,6,4.0,0.577
778,грунт/грязь,29,5,6.0,0.699
779,грунт/грязь,22,8,4.0,0.394
780,грунт/грязь,8,4,4.0,0.698
781,грунт/грязь,9,3,4.0,0.785
782,грунт/грязь,40,11,4.4,0.404
783,грунт/грязь,14,5,4.0,0.714
784,грунт/грязь,9,3,4.0,0.785
785,грунт/грязь,23,7,4.4,0.516
786,грунт/грязь,69,20,6.0,0.340
787,грунт/грязь,190,21,12.4,0.612
788,грунт/грязь,6,3,4.0,0.754
789,грунт/грязь,4,2,4.0,0.785
790,грунт/грязь,4,2,4.0,0.785
791,грунт/грязь,32,12,4.0,0.457
792,грунт/грязь,6,3,4.0,0.754
793,грунт/грязь,72,18,6.0,0.372
794,грунт/грязь,9,3,4.0,0.687
795,грунт/грязь,84,18,7.2,0.463
796,грунт/грязь,12,5,4.0,0.686
797,грунт/грязь,4,2,4.0,0.785
798,грунт/грязь,116,28,6.0,0.259
799,грунт/грязь,42,10,6.0,0.423
800,грунт/грязь,28,8,4.0,0.520
801,грунт/грязь,10,3,4.0,0.733
802,грунт/грязь,32,12,4.0,0.302
803,грунт/грязь,14,3,4.4,0.800
804,грунт/грязь,18,6,4.0,0.661
805,грунт/грязь,22,8,4.0,0.617
806,грунт/грязь,8,2,4.0,0.857
807,грунт/грязь,4,2,4.0,0.785
808,грунт/грязь,6,2,4.0,0.754
809,грунт/грязь,8,3,4.0,0.698
810,грунт/грязь,4,2,4.0,0.785
811,грунт/грязь,14,5,4.0,0.601
812,грунт/грязь,4,2,4.0,0.785
813,грунт/грязь,42,13,6.0,0.415
814,грунт/грязь,4,2,4.0,0.785
815,грунт/грязь,39,8,5.6,0.527
816,грунт/грязь,4,2,4.0,0.785
817,грунт/грязь,47,14,6.0,0.474
818,грунт/грязь,6,3,4.0,0.754
819,грунт/грязь,18,4,4.0,0.698
820,грунт/грязь,90,24,6.0,0.313
821,грунт/грязь,10,4,4.0,0.733
822,грунт/грязь,12,6,4.0,0.661
823,грунт/грязь,8,4,4.0,0.698
824,грунт/грязь,6,3,4.0,0.754
825,грунт/грязь,52,14,8.0,0.577
826,грунт/грязь,38,10,5.6,0.558
827,грунт/грязь,6,2,4.0,0.754
828,грунт/грязь,30,6,5.6,0.652
829,грунт/грязь,22,6,4.4,0.659
830,грунт/грязь,21,5,5.6,0.744
831,грунт/грязь,6,3,4.0,0.754
832,грунт/грязь,8,4,4.0,0.698
833,грунт/грязь,8,3,4.0,0.698
834,грунт/грязь,70,20,6.0,0.344
835,грунт/грязь,8,3,4.0,0.857
836,грунт/грязь,8,3,4.0,0.698
837,грунт/грязь,40,10,5.6,0.502
838,грунт/грязь,20,7,4.0,0.536
839,грунт/грязь,8,2,4.0,0.820
840,грунт/грязь,24,8,4.0,0.644
841,грунт/грязь,44,6,6.4,0.566
842,грунт/грязь,4,2,4.0,0.785
843,грунт/грязь,114,16,8.8,0.618
844,грунт/грязь,44,10,6.0,0.500
845,грунт/грязь,16,5,4.0,0.642
846,грунт/грязь,23,4,6.0,0.815
847,грунт/грязь,6,3,4.0,0.754
848,грунт/грязь,9,3,4.0,0.785
849,грунт/грязь,89,9,10.0,0.755
850,грунт/грязь,40,11,6.0,0.572
851,грунт/грязь,6,2,4.0,0.754
852,грунт/грязь,6,3,4.0,0.754
853,грунт/грязь,6,3,4.0,0.754
854,грунт/грязь,38,10,5.6,0.589
855,грунт/грязь,4,2,4.0,0.785
856,грунт/грязь,41,9,6.0,0.620
857,грунт/грязь,51,18,5.6,0.324
858,грунт/грязь,4,2,4.0,0.785
859,грунт/грязь,4,2,4.0,0.785
860,грунт/грязь,13,5,4.0,0.577
861,грунт/грязь,4,2,4.0,0.785
862,грунт/грязь,24,7,4.4,0.622
863,грунт/грязь,8,3,4.0,0.698
864,грунт/грязь,36,14,4.0,0.400
865,грунт/грязь,8,2,4.0,0.820
866,грунт/грязь,4,2,4.0,0.785
867,грунт/грязь,19,8,4.0,0.550
868,грунт/грязь,108,23,7.2,0.310
869,грунт/грязь,12,3,4.0,0.803
870,грунт/грязь,22,4,5.6,0.812
871,грунт/грязь,6,3,4.0,0.754
872,грунт/грязь,8,4,4.0,0.698
873,грунт/грязь,185,35,8.4,0.331
874,грунт/грязь,8,3,4.0,0.698
875,грунт/грязь,38,11,6.0,0.366
876,грунт/грязь,4,2,4.0,0.785
877,грунт/грязь,216,52,7.2,0.174
878,грунт/грязь,12,4,4.0,0.769
879,грунт/грязь,34,7,6.0,0.716
880,грунт/грязь,62,18,7.2,0.337
881,грунт/грязь,87,12,8.8,0.667
882,грунт/грязь,56,15,6.0,0.343
883,грунт/грязь,236,56,10.0,0.165
884,грунт/грязь,20,4,6.0,0.808
885,грунт/грязь,4,2,4.0,0.785
886,грунт/грязь,4,2,4.0,0.785
887,грунт/грязь,8,2,4.0,0.820
888,грунт/грязь,20,5,5.6,0.774
889,грунт/грязь,6,3,4.0,0.754
890,грунт/грязь,32,10,4.4,0.540
891,грунт/грязь,14,2,4.4,0.767
892,грунт/грязь,58,16,7.2,0.523
893,грунт/грязь,8,4,4.0,0.698
894,грунт/грязь,12,3,4.0,0.803
895,грунт/грязь,4,2,4.0,0.785
896,грунт/грязь,4,2,4.0,0.785
897,грунт/грязь,8,4,4.0,0.698
898,грунт/грязь,6,3,4.0,0.754
899,грунт/грязь,4,2,4.0,0.785
900,грунт/грязь,9,3,4.0,0.785
901,грунт/грязь,21,5,4.0,0.608
902,грунт/грязь,4,2,4.0,0.785
903,грунт/грязь,842,160,8.4,0.083
904,грунт/грязь,17,6,4.0,0.603
905,грунт/грязь,10,5,4.0,0.572
906,грунт/грязь,44,8,6.4,0.665
907,грунт/грязь,6,2,4.0,0.754
908,грунт/грязь,98,29,6.0,0.226
909,грунт/грязь,9,3,4.0,0.785
910,грунт/грязь,4,2,4.0,0.785
911,грунт/грязь,4,2,4.0,0.785
912,грунт/грязь,8,3,4.0,0.857
913,грунт/грязь,10,3,4.0,0.733
914,грунт/грязь,444,108,10.8,0.170
915,грунт/грязь,18,5,5.6,0.799
916,грунт/грязь,78,17,7.2,0.390
917,грунт/грязь,116,44,4.0,0.148
918,грунт/грязь,34,13,4.0,0.388
919,грунт/грязь,4,2,4.0,0.785
920,грунт/грязь,155,33,8.4,0.336
921,грунт/грязь,10,4,4.0,0.641
922,грунт/грязь,50,10,8.0,0.644
923,грунт/грязь,36,16,4.0,0.305
924,грунт/грязь,9,4,4.0,0.687
925,грунт/грязь,16,6,4.4,0.684
926,грунт/грязь,16,8,4.0,0.463
927,грунт/грязь,200,62,6.0,0.110
928,грунт/грязь,4,2,4.0,0.785
929,грунт/грязь,6,2,4.0,0.754
930,грунт/грязь,68,21,6.0,0.287
931,грунт/грязь,67,17,6.0,0.376
932,грунт/грязь,4,2,4.0,0.785
933,грунт/грязь,252,52,10.0,0.236
934,грунт/грязь,23,6,6.0,0.815
935,грунт/грязь,4,2,4.0,0.785
936,грунт/грязь,22,9,4.0,0.530
937,грунт/грязь,8,4,4.0,0.698
938,грунт/грязь,59,16,6.0,0.361
939,грунт/грязь,29,5,6.0,0.699
940,грунт/грязь,4,2,4.0,0.785
941,грунт/грязь,14,2,4.4,0.767
942,грунт/грязь,14,5,4.0,0.621
943,грунт/грязь,34,6,6.0,0.628
944,грунт/грязь,39,14,4.0,0.331
945,грунт/грязь,36,9,6.0,0.629
946,грунт/грязь,64,19,6.0,0.366
947,грунт/грязь,50,9,6.4,0.627
948,грунт/грязь,4,2,4.0,0.785
949,грунт/грязь,108,26,6.0,0.334
950,грунт/грязь,11,5,4.0,0.488
951,грунт/грязь,39,11,6.4,0.641
952,грунт/грязь,18,6,4.0,0.617
953,грунт/грязь,14,5,4.0,0.601
954,грунт/грязь,4,2,4.0,0.785
955,грунт/грязь,38,11,6.0,0.515
956,грунт/грязь,828,82,24.8,0.501
957,грунт/грязь,28,9,5.6,0.571
958,грунт/грязь,32,10,6.0,0.512
959,грунт/грязь,30,9,4.4,0.573
960,грунт/грязь,41,11,5.6,0.488
961,грунт/грязь,32,10,4.4,0.496
962,грунт/грязь,4,2,4.0,0.785
963,грунт/грязь,4,2,4.0,0.785
964,грунт/грязь,30,7,6.0,0.593
965,грунт/грязь,18,7,4.0,0.583
966,грунт/грязь,30,9,4.4,0.557
967,грунт/грязь,14,3,4.0,0.767
968,грунт/грязь,85,10,8.4,0.626
969,грунт/грязь,26,5,5.6,0.673
970,грунт/грязь,68,13,8.4,0.642
971,грунт/грязь,642,132,12.4,0.099
972,грунт/грязь,24,11,4.4,0.266
973,грунт/грязь,60,11,6.4,0.618
974,грунт/грязь,61,17,6.0,0.373
975,грунт/грязь,172,37,8.0,0.273
976,грунт/грязь,77,26,6.4,0.251
977,грунт/грязь,106,29,6.4,0.247
978,грунт/грязь,4,2,4.0,0.785
979,грунт/грязь,160,36,7.2,0.270
980,грунт/грязь,6,2,4.0,0.754
981,грунт/грязь,52,15,6.0,0.319
982,грунт/грязь,646,99,13.2,0.235
983,грунт/грязь,6,2,4.0,0.754
984,грунт/грязь,66,8,8.0,0.737
985,грунт/грязь,6,2,4.0,0.754
986,грунт/грязь,129,31,6.4,0.268
987,грунт/грязь,268,49,12.4,0.556
988,грунт/грязь,10,5,4.0,0.641
989,грунт/грязь,25,8,4.4,0.561
990,грунт/грязь,362,60,10.4,0.267
991,грунт/грязь,11,4,4.0,0.390
992,грунт/грязь,32,12,4.4,0.496
993,грунт/грязь,4,2,4.0,0.785
994,грунт/грязь,211,36,10.0,0.385
995,грунт/грязь,50,11,6.0,0.555
996,грунт/грязь,12,5,4.0,0.686
997,грунт/грязь,136,40,8.4,0.239
998,грунт/грязь,16,8,4.0,0.463
999,грунт/грязь,18,6,4.4,0.638
1000,грунт/грязь,34,11,6.0,0.436
1001,грунт/грязь,11,6,5.6,0.629
1002,песок,26,8,6.0,0.607
1003,песок,14,4,4.0,0.767
1004,песок,8,3,4.0,0.698
1005,песок,44,14,6.0,0.407
1006,песок,6,3,4.0,0.754
1007,песок,10,3,4.0,0.733
1008,песок,24,9,4.0,0.579
1009,песок,14,3,4.0,0.800
1010,песок,40,10,6.0,0.527
1011,песок,6,3,4.0,0.754
1012,песок,34,11,4.0,0.474
1013,песок,20,8,4.4,0.579
1014,песок,34,11,4.0,0.450
1015,песок,93,18,7.2,0.444
1016,песок,74,19,6.0,0.327
1017,песок,46,7,6.4,0.751
1018,песок,8,2,4.0,0.820
1019,песок,12,3,4.0,0.803
1020,песок,14,7,4.0,0.601
1021,песок,4,2,4.0,0.785
1022,песок,21,6,6.0,0.744
1023,песок,6,2,4.0,0.754
1024,песок,6,2,4.0,0.754
1025,песок,6,2,4.0,0.754
1026,песок,52,17,6.0,0.349
1027,песок,14,2,4.4,0.767
1028,песок,6,3,4.0,0.754
1029,песок,8,3,4.0,0.698
1030,песок,11,5,4.0,0.629
1031,песок,4,2,4.0,0.785
1032,песок,6,2,4.0,0.754
1033,песок,32,6,6.0,0.722
1034,песок,20,4,4.4,0.709
1035,песок,90,23,6.0,0.317
1036,песок,54,14,6.4,0.489
1037,песок,16,4,4.4,0.786
1038,песок,10,4,4.0,0.733
1039,песок,4,2,4.0,0.785
1040,песок,6,3,4.0,0.754
1041,песок,6,3,4.0,0.754
1042,песок,4,2,4.0,0.785
1043,песок,134,22,8.4,0.490
1044,песок,4,2,4.0,0.785
1045,песок,14,4,4.0,0.691
1046,песок,4,2,4.0,0.785
1047,песок,28,9,6.0,0.571
1048,песок,118,25,8.4,0.384
1049,песок,224,52,8.8,0.212
1050,песок,4,2,4.0,0.785
1051,песок,246,64,6.4,0.134
1052,песок,4,2,4.0,0.785
1053,песок,10,3,4.0,0.733
1054,песок,6,2,4.0,0.754
1055,песок,4,2,4.0,0.785
1056,песок,53,14,6.4,0.631
1057,песок,132,25,7.2,0.280
1058,песок,4,2,4.0,0.785
1059,песок,18,8,4.0,0.507
1060,песок,8,3,4.0,0.820
1061,песок,35,7,6.0,0.713
1062,песок,4,2,4.0,0.785
1063,песок,4,2,4.0,0.785
1064,песок,26,7,5.6,0.627
1065,песок,4,2,4.0,0.785
1066,песок,4,2,4.0,0.785
1067,песок,17,5,4.0,0.603
1068,песок,216,52,8.4,0.185
1069,песок,10,2,4.0,0.764
1070,песок,32,6,5.6,0.630
